date,actual,N-BEATS v2 (covariate-conditioned),residual,z_residual,period,zscore_flag,iforest_flag,lof_flag,ocsvm_flag,kmeans_flag,ensemble_votes,ensemble_flag
2021-08-13,0.1820415135929463,0.19063431,-0.00859279640705371,-1.008538914684294,post-COVID,0,0,0,0,0,0,0
2021-08-14,0.1874111253979916,0.17254955,0.0148615753979916,1.386809482805416,post-COVID,0,0,0,0,1,1,0
2021-08-15,0.1811884031349497,0.17882396,0.002364443134949684,0.1662094310851309,post-COVID,0,0,0,0,0,0,0
2021-08-16,0.1806123561107029,0.19725294,-0.016640583889297095,-1.7577332840557682,post-COVID,0,0,0,0,0,0,0
2021-08-17,0.1766856784227283,0.18947914,-0.012793461577271681,-1.4237112498338766,post-COVID,0,0,0,0,0,0,0
2021-08-18,0.1753952975753122,0.18331623,-0.007920932424687804,-0.9817753688913774,post-COVID,0,0,0,0,0,0,0
2021-08-19,0.1726086823414156,0.17405985,-0.0014511676585843847,-0.5021036815879927,post-COVID,0,0,0,0,0,0,0
2021-08-20,0.1857580210629439,0.17058553,0.015172491062943883,0.8856510878314129,post-COVID,0,0,0,0,0,0,0
2021-08-21,0.1760497795738427,0.17551333,0.0005364495738427177,-0.17509519643098118,post-COVID,0,0,0,0,0,0,0
2021-08-22,0.1745880480039186,0.17284423,0.0017438180039186235,-0.046409394621152227,post-COVID,0,0,0,0,0,0,0
2021-08-23,0.192468803575802,0.1794506,0.013018203575802023,0.6660018099117663,post-COVID,0,0,0,0,0,0,0
2021-08-24,0.1953171993632133,0.19115578,0.004161419363213292,-0.005208647887542687,post-COVID,0,0,0,0,0,0,0
2021-08-25,0.1993876132745529,0.1921219,0.007265713274552887,0.21323853698145698,post-COVID,0,0,0,0,0,0,0
2021-08-26,0.2061257959833455,0.19311936,0.013006435983345499,0.6124875911575496,post-COVID,0,0,0,0,0,0,0
2021-08-27,0.1983108621111927,0.19986598,-0.0015551178888073003,-0.3985785832245404,post-COVID,0,0,0,0,0,0,0
2021-08-28,0.1818014021552779,0.19146374,-0.009662337844722091,-0.886075885016137,post-COVID,0,0,0,0,0,0,0
2021-08-29,0.1823341293166789,0.18333362,-0.0009994906833211137,-0.2753604914292056,post-COVID,0,0,0,0,0,0,0
2021-08-30,0.2124757531227038,0.19303198,0.019443773122703817,1.0951442532614357,post-COVID,0,0,0,0,1,1,0
2021-08-31,0.222507072005878,0.20470369,0.017803382005878,0.9820769723011554,post-COVID,0,0,0,0,1,1,0
2021-09-01,0.2447194771001714,0.21566051,0.02905896710017139,1.7604219594446495,post-COVID,0,0,0,0,1,1,0
2021-09-02,0.2533700404114621,0.23259026,0.020779780411462112,1.1809991972593732,post-COVID,0,0,0,0,1,1,0
2021-09-03,0.2247440913543962,0.24140416,-0.016660068645603793,-1.3222990165115582,post-COVID,0,0,0,0,0,0,0
2021-09-04,0.2032125887827577,0.22023383,-0.0170212412172423,-1.3372304320634032,post-COVID,0,0,0,0,0,0,0
2021-09-05,0.2056538084741611,0.21496585,-0.009312041525838921,-0.7767314433357762,post-COVID,0,0,0,0,0,0,0
2021-09-06,0.2599862233651726,0.22822696,0.03175926336517257,1.890108018654511,post-COVID,0,0,0,0,1,1,0
2021-09-07,0.2721074577516532,0.25032645,0.021781007751653203,1.2399992530765922,post-COVID,0,0,0,0,1,1,0
2021-09-08,0.2712246816066617,0.266516,0.004708681606661713,0.20269338700941603,post-COVID,0,0,0,0,1,1,0
2021-09-09,0.2784912747979426,0.26778045,0.010710824797942609,0.587507471463619,post-COVID,0,0,0,0,1,1,0
2021-09-10,0.2543938280675973,0.2641871,-0.009793271932402703,-0.680463779835035,post-COVID,0,0,0,0,0,0,0
2021-09-11,0.2116295309821209,0.23318301,-0.0215534790178791,-1.3872262325394151,post-COVID,0,0,0,0,0,0,0
2021-09-12,0.2117749510164094,0.22419171,-0.012416758983590598,-0.8110749518993811,post-COVID,0,0,0,0,0,0,0
2021-09-13,0.2729726304188097,0.25155655,0.021416080418809713,1.3291740133543681,post-COVID,0,0,0,0,1,1,0
2021-09-14,0.2787938096987509,0.27540088,0.0033929296987508795,0.18465956486391277,post-COVID,0,0,0,0,0,0,0
2021-09-15,0.271651726671565,0.280232,-0.008580273328434973,-0.5341000794853171,post-COVID,0,0,0,0,0,0,0
2021-09-16,0.2781991795248592,0.27568766,0.0025115195248591737,0.24084409977805088,post-COVID,0,0,0,0,0,0,0
2021-09-17,0.2429644562821454,0.27054688,-0.027582423717854576,-1.8558016526748249,post-COVID,0,0,0,0,0,0,0
2021-09-18,0.2126745040411461,0.21672483,-0.0040503259588539064,-0.10353013087462036,post-COVID,0,0,0,0,0,0,0
2021-09-19,0.2123367621846681,0.22155601,-0.009219247815331899,-0.5742256857951441,post-COVID,0,0,0,0,0,0,0
2021-09-20,0.273118479059515,0.2612165,0.011901979059514955,0.9888360479848245,post-COVID,0,0,0,0,1,1,0
2021-09-21,0.2644706404604457,0.28403232,-0.01956167953955429,-1.2110722904226492,post-COVID,0,0,0,0,0,0,0
2021-09-22,0.2686578802351211,0.2749688,-0.006310919764878908,-0.3195244761922571,post-COVID,0,0,0,0,0,0,0
2021-09-23,0.2689714058290472,0.26657125,0.0024001558290472347,0.2806028851111244,post-COVID,0,0,0,0,0,0,0
2021-09-24,0.2554867744305657,0.26314983,-0.007663055569434252,-0.37850439174914535,post-COVID,0,0,0,0,0,0,0
2021-09-25,0.2167918809698751,0.22503556,-0.008243679030124906,-0.39392421739440986,post-COVID,0,0,0,0,0,0,0
2021-09-26,0.218093803575802,0.21729055,0.0008032535758019932,0.26048059371035004,post-COVID,0,0,0,0,0,0,0
2021-09-27,0.273669881214793,0.27273825,0.000931631214793005,0.2845575210706738,post-COVID,0,0,0,0,0,0,0
2021-09-28,0.2728718772961057,0.27921727,-0.006345392703894337,-0.18638177058945068,post-COVID,0,0,0,0,0,0,0
2021-09-29,0.2730616887092823,0.28094587,-0.007884181290717662,-0.2955970405767697,post-COVID,0,0,0,0,0,0,0
2021-09-30,0.2714214731814842,0.27377385,-0.0023523768185158,0.01838552605997874,post-COVID,0,0,0,0,0,0,0
2021-10-01,0.2658881643399461,0.26271302,0.00317514433994609,0.32712989256665803,post-COVID,0,0,0,0,0,0,0
2021-10-02,0.2282295799657114,0.22988833,-0.0016587500342886141,0.056605176963033244,post-COVID,0,0,0,0,0,0,0
2021-10-03,0.2433291084986529,0.22486445,0.01846465849865292,1.2257731862372065,post-COVID,0,0,0,0,0,0,0
2021-10-04,0.2709050636786676,0.2975252,-0.026620136321332366,-1.5557939849026075,post-COVID,0,0,0,0,0,0,0
2021-10-05,0.2846842089150134,0.24122581,0.04345839891501338,2.7224414601214573,post-COVID,0,0,0,0,1,1,0
2021-10-06,0.2799292799412196,0.29101652,-0.011087240058780423,-0.5369997852362235,post-COVID,0,0,0,0,0,0,0
2021-10-07,0.2878783370071026,0.2727364,0.01514193700710259,1.0190248235156905,post-COVID,0,0,0,0,1,1,0
2021-10-08,0.2700021430320842,0.27644756,-0.006445416967915785,-0.35072522852118004,post-COVID,0,0,0,0,0,0,0
2021-10-09,0.2285160115111437,0.23079786,-0.0022818484888562918,-0.06715017429972404,post-COVID,0,0,0,0,0,0,0
2021-10-10,0.2025256857702669,0.23088197,-0.028356284229733103,-1.6749315856067273,post-COVID,0,0,0,0,0,0,0
2021-10-11,0.2184221160911094,0.25344127,-0.0350191539088906,-2.091505622795614,post-COVID,0,0,0,0,0,0,0
2021-10-12,0.2333099436688708,0.23935205,-0.006042106331129199,-0.3809081324340456,post-COVID,0,0,0,0,0,0,0
2021-10-13,0.2818978692138133,0.24625829,0.03563957921381333,2.0601391164255216,post-COVID,0,0,0,0,1,1,0
2021-10-14,0.2885126132745529,0.2775626,0.010950013274552917,0.6079805932940506,post-COVID,0,0,0,0,1,1,0
2021-10-15,0.2765700465344109,0.27613905,0.00043099653441092123,-0.030141996507298117,post-COVID,0,0,0,0,0,0,0
2021-10-16,0.2359822434484447,0.24103963,-0.0050573865515552985,-0.28309048106754353,post-COVID,0,0,0,0,0,0,0
2021-10-17,0.2342564290962527,0.22871509,0.005541339096252679,0.32745281222731826,post-COVID,0,0,0,0,0,0,0
2021-10-18,0.2798579475875581,0.2748654,0.004992547587558127,0.3349623806563467,post-COVID,0,0,0,0,0,0,0
2021-10-19,0.2707008021062943,0.28657427,-0.015873467893705695,-0.757157702719151,post-COVID,0,0,0,0,0,0,0
2021-10-20,0.2726526144991427,0.28579542,-0.013142805500857335,-0.7100399384407754,post-COVID,0,0,0,0,0,0,0
2021-10-21,0.2867232427136909,0.2789249,0.007798342713690898,0.38440255427357756,post-COVID,0,0,0,0,0,0,0
2021-10-22,0.2892132929218711,0.27591702,0.013296272921871077,0.6587017658921905,post-COVID,0,0,0,0,0,0,0
2021-10-23,0.2435179096252755,0.25530756,-0.011789650374724486,-0.6214781538033197,post-COVID,0,0,0,0,0,0,0
2021-10-24,0.2472703281900563,0.23420793,0.013062398190056279,0.6180672474122528,post-COVID,0,0,0,0,0,0,0
2021-10-25,0.3047062515307371,0.2855753,0.019130951530737128,0.8918667490691993,post-COVID,0,0,0,0,1,1,0
2021-10-26,0.3055851396032329,0.30523345,0.00035168960323289644,-0.09229154199249795,post-COVID,0,0,0,0,0,0,0
2021-10-27,0.3099164217487141,0.3025865,0.007329921748714108,0.21520080985087883,post-COVID,0,0,0,0,0,0,0
2021-10-28,0.3012220793534165,0.30796432,-0.006742240646583519,-0.6069880347641524,post-COVID,0,0,0,0,0,0,0
2021-10-29,0.2994351273573352,0.2974949,0.001940227357335178,-0.029491917500447933,post-COVID,0,0,0,0,0,0,0
2021-10-30,0.2388684484447709,0.26940435,-0.030535901555229117,-1.846984868715801,post-COVID,0,0,0,0,0,0,0
2021-10-31,0.2290393093313739,0.23550509,-0.006465780668626103,-0.47331074425126,post-COVID,0,0,0,0,0,0,0
2021-11-01,0.2473436198873377,0.27782786,-0.030484240112662292,-1.802599303318107,post-COVID,0,0,0,0,0,0,0
2021-11-02,0.3203423340680871,0.27028617,0.050056164068087106,2.50619477573196,post-COVID,0,0,0,0,1,1,0
2021-11-03,0.3296156318883174,0.31064224,0.01897339188831737,0.8480897766027524,post-COVID,0,0,0,0,1,1,0
2021-11-04,0.3418209343619887,0.32268637,0.019134564361988682,0.8491393643453179,post-COVID,0,0,0,0,1,1,0
2021-11-05,0.3287256000489836,0.32904524,-0.00031963995101641496,-0.22698524348179472,post-COVID,0,0,0,0,0,0,0
2021-11-06,0.2731878520695566,0.2853991,-0.012211247930443425,-0.8058785344842131,post-COVID,0,0,0,0,0,0,0
2021-11-07,0.288693577026696,0.2616878,0.027005777026695987,1.2735921097272833,post-COVID,0,0,0,0,1,1,0
2021-11-08,0.3359577210384521,0.32038343,0.015574291038452093,0.5663810045501195,post-COVID,0,0,0,0,1,1,0
2021-11-09,0.3354957139358314,0.3497798,-0.014284086064168589,-0.9610931741018629,post-COVID,0,0,0,0,0,0,0
2021-11-10,0.3481272961058045,0.34079924,0.0073280561058045035,0.20043945610966932,post-COVID,0,0,0,0,0,0,0
2021-11-11,0.344820077149155,0.3378086,0.00701147714915501,0.14957959897674733,post-COVID,0,0,0,0,0,0,0
2021-11-12,0.321268674993877,0.33125216,-0.009983485006123005,-0.7291148495762214,post-COVID,0,0,0,0,0,0,0
2021-11-13,0.2573502326720548,0.27964973,-0.022299497327945172,-1.3411795468542802,post-COVID,0,0,0,0,0,0,0
2021-11-14,0.2705026634827333,0.25679564,0.013707023482733283,0.44004062661855103,post-COVID,0,0,0,0,0,0,0
2021-11-15,0.3546523083517021,0.31382856,0.040823748351702105,1.7830850663656663,post-COVID,0,0,0,0,1,1,0
2021-11-16,0.3553852559392603,0.35812867,-0.0027434140607396906,-0.4263590963023708,post-COVID,0,0,0,0,0,0,0
2021-11-17,0.3576216323781533,0.35167116,0.005950472378153326,-0.10436548137868966,post-COVID,0,0,0,0,0,0,0
2021-11-18,0.349742958608866,0.3541273,-0.004384341391133972,-0.6234522298115258,post-COVID,0,0,0,0,0,0,0
2021-11-19,0.3328943791329904,0.33445078,-0.0015564008670095886,-0.4495054255671169,post-COVID,0,0,0,0,0,0,0
2021-11-20,0.2706030798432525,0.2906911,-0.020088020156747488,-1.2764770976760467,post-COVID,0,0,0,0,0,0,0
2021-11-21,0.2865433504775899,0.26934007,0.0172032804775899,0.6687871166591263,post-COVID,0,0,0,0,0,0,0
2021-11-22,0.3765265123683566,0.3422512,0.034275312368356625,1.370725999359931,post-COVID,0,0,0,0,1,1,0
2021-11-23,0.3883381398481508,0.38154313,0.00679500984815079,0.2356421208186809,post-COVID,0,0,0,0,1,1,0
2021-11-24,0.3687949730590252,0.37636304,-0.0075680669409747825,-0.3434796247987978,post-COVID,0,0,0,0,0,0,0
2021-11-25,0.3750127357335292,0.35563594,0.01937679573352924,0.5580731636022959,post-COVID,0,0,0,0,1,1,0
2021-11-26,0.3670461364192995,0.35412177,0.012924366419299504,0.3432749789961692,post-COVID,0,0,0,0,1,1,0
2021-11-27,0.3041963629684056,0.3161775,-0.011981137031594424,-0.4992329365437201,post-COVID,0,0,0,0,0,0,0
