user,length_years,missing_samples_pct,p1,p2,p3,p4,p5,p6,cnae,contracted_tariff,zip_code,municipality,num_active_periods,tariff_fixture,cnae_2d,sector
0001b3b2f18c01c62ed9b2a87de7b4e33e7836f786f7904471d8866978405c1b,5.01300479123888,0.184325505188422,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
0003de2700e20a1681d69fe287441d9041407a7698d5c86cf37373e5fb3dd7bb,2.4558521560575,0.241545893719807,4.6,,,,,,9820,1_active_periods,20013.0,Donostia/San Sebastian,1,1-0-0-0-0-0,98,Household production
0004150214d14a2b2e6f7075531e661cf465b27ec4d0d53573866df2c97b8313,3.89869952087611,0.0204822097378277,9.2,9.2,,,,,4759,2_active_periods,20304.0,Irun,2,1-1-0-0-0-0,47,Retail trade
000721f0fc6ccf02ae24b67393979513171f2abc119af07a7abed20ca303b665,5.01300479123888,0.293555434188968,4.4,4.4,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
0009b156f2a1213a137c150f4787150384938eac15cc2044a10c797d98667a91,4.47912388774812,0.022921760391198,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
000bf84faacf921b55bd4ec4aecda599754e9017e150091d330afc038f0fab11,3.24709103353867,0.0245924676784711,9.2,9.2,,,,,9820,2_active_periods,20003.0,Donostia/San Sebastian,2,1-1-0-0-0-0,98,Household production
000da4922a91b9895f9f871225d8e3b9a1bbd51c3a29100b14864b75f0188534,3.67693360711841,0.0899726979399355,0.69,0.69,,,,,9810,2_active_periods,20001.0,Donostia/San Sebastian,2,1-1-0-0-0-0,98,Household production
00164e0071c0ce4e2f15512884409607f4701589453cbe8443eea7668fdc5beb,3.11567419575633,0.0219683655536028,9.9,,,,,,8411,1_active_periods,,,1,1-0-0-0-0-0,84,Public administration
001be27fc1f3e2daa58919a9de02e9e1b4a2ffb0fc8ebe2acb747f52a30acf32,5.01300479123888,0.129710540688149,3.3,3.3,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
001f110aa2520c6822370ae277427326684ce4e6504043c627fe77c860fbdcd9,1.34702258726899,0.0254065040650407,3.45,3.45,,,,,9821,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
0023b15da6626445e077a553801554466ecd28f66c575ae316f910ac15dec227,4.47364818617385,2.92992656058752,6.0,6.0,,,,,9602,2_active_periods,,,2,1-1-0-0-0-0,96,Personal services
0023b502d95ae54c7c0e5f7a3cef3ad620651efe04e4253bfd3ada4e62161dfe,2.30800821355236,0.0197706603400554,5.5,5.5,,,,,9810,2_active_periods,31001.0,Pamplona/Iruna,2,1-1-0-0-0-0,98,Household production
0024e07345b50dd266c6390d5c496a1bad30a85d8cff3ab80b78ce16102c008a,1.00479123887748,0.0227066303360581,4.4,4.4,0.0,0.0,0.0,0.0,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
002da62dc54b7a789473182feddfad7c185a94608196e9169bf61a17a90e6915,5.01300479123888,0.293555434188968,3.45,3.45,,,,,9820,2_active_periods,31015.0,Pamplona/Iruna,2,1-1-0-0-0-0,98,Household production
002dee79e61047af5f33e9fc617562a4117e25ca2192ed01c6608f37760c9504,3.17316906228611,0.0215703192407248,3.8,3.8,,,,,4110,2_active_periods,,,2,1-1-0-0-0-0,41,Construction (buildings)
002ed9a37fb8cf35ccd34afffb48add82354efd8a61c615b3c0f08b33c3404d8,1.43463381245722,0.0238549618320611,4.6,4.6,,,,,9820,2_active_periods,20001.0,Donostia/San Sebastian,2,1-1-0-0-0-0,98,Household production
00360f8639d63be18f35bf7181f155f69bf176003b5ee3916ea427c508085a35,4.9555099247091,0.13121546961326,3.45,3.45,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
0037de47a2397f66e7a8a4f8c04962390c6b5fbf5dc19dcd1909807d989002dd,2.71868583162218,0.0209801946962068,4.6,4.6,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
00489151865c9806ea977413603cc72b8bc27ff57350e878fcbedcb4d69317b1,5.01300479123888,0.220735481521937,5.75,5.75,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
004a149b06c038586f30361ac6f16adb2ee32aee5f80784a4bda6a257814a9a4,4.28199863107461,0.0239769820971867,3.45,3.45,,,,,9820,2_active_periods,20011.0,Donostia/San Sebastian,2,1-1-0-0-0-0,98,Household production
0050b980111bad9422575db977d18199b5426cfa491073e4be3efa1acb1aa136,4.81314168377823,0.0782138794084187,3.3,3.3,,,,,9821,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
0051177c9c0ec5ba203990395f5e785e9e913321576aed98d30b9ccab17d5823,5.01300479123888,0.0204806116876024,3.3,3.3,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
0052816ff7fcdf2a35953c34f9f2ea4c127623533e3274ce46bf0a7c3956f1ac,3.28542094455852,0.0243055555555556,2.3,2.3,,,,,9820,2_active_periods,,,2,1-1-0-0-0-0,98,Household production
