sector,date,avg_kwh,std_kwh,n_users
Household production,2014-11-02,0.0,,1
Household production,2014-11-03,0.0,,1
Household production,2014-11-04,0.10376086956521736,0.14447105138431968,4
Household production,2014-11-05,0.17489311594202897,0.20058088155837256,5
Household production,2014-11-06,0.14772499999999997,0.15071368873537075,5
Household production,2014-11-07,0.15889166666666665,0.16072270482798073,5
Household production,2014-11-08,0.15999849033816424,0.15342018456838766,6
Household production,2014-11-09,0.21211805555555555,0.20645860900867344,6
Household production,2014-11-10,0.17554861111111109,0.16397742988464625,6
Household production,2014-11-11,0.1749097222222222,0.15932800596190327,6
Household production,2014-11-12,0.16265972222222222,0.15220198206629046,6
Household production,2014-11-13,0.1598090062111801,0.15970629129062835,7
Household production,2014-11-14,0.15411904761904763,0.14692946080252106,7
Household production,2014-11-15,0.15174999999999997,0.1490115250793759,7
Household production,2014-11-16,0.11926190476190475,0.12562367263506807,7
Household production,2014-11-17,0.14188095238095236,0.15523109719077846,7
Household production,2014-11-18,0.15701190476190474,0.15274041029311114,7
Household production,2014-11-19,0.17161904761904762,0.1876627972707893,7
Household production,2014-11-20,0.16368452380952375,0.1591711420566691,7
Household production,2014-11-21,0.1545297619047619,0.15305590034674382,7
Household production,2014-11-22,0.14558333333333331,0.13640191793956782,7
Household production,2014-11-23,0.14785714285714283,0.12447215137633785,7
Household production,2014-11-24,0.1677738095238095,0.16377019216955804,7
Household production,2014-11-25,0.1558988095238095,0.15257280983709812,7
Household production,2014-11-26,0.15120833333333333,0.14628654972221344,7
Household production,2014-11-27,0.15879761904761902,0.15413509329197872,7
Household production,2014-11-28,0.13786309523809523,0.1345557456121762,7
Household production,2014-11-29,0.17550595238095237,0.17500971770071097,7
Household production,2014-11-30,0.21865476190476188,0.22622516964509584,7
Household production,2014-12-01,0.19679761904761903,0.17289369564384424,7
Household production,2014-12-02,0.42488745471014483,0.6383396010999166,8
Household production,2014-12-03,0.31109492753623186,0.46897944023590377,10
Household production,2014-12-04,0.3137041666666666,0.48515621627055017,10
Household production,2014-12-05,0.30932916666666666,0.5015125626365238,10
Household production,2014-12-06,0.3858127470355731,0.4706763050445086,11
Household production,2014-12-07,0.30881981605351166,0.4420041636468489,13
Household production,2014-12-08,0.3329175724637681,0.40685533200756285,14
Household production,2014-12-09,0.3023035714285714,0.4088962101700039,14
Household production,2014-12-10,0.29167261904761904,0.40523600273243454,14
Household production,2014-12-11,0.2774940476190476,0.4024421558402074,14
Household production,2014-12-12,0.261110119047619,0.2850087181935884,14
Household production,2014-12-13,0.2818363095238095,0.33073831890800526,14
Household production,2014-12-14,0.30044940476190474,0.3203002506740876,14
Household production,2014-12-15,0.29276785714285714,0.31874778058314207,14
Household production,2014-12-16,0.2671815476190476,0.3060508333737149,14
Household production,2014-12-17,0.27682142857142855,0.3151350072017413,14
Household production,2014-12-18,0.2801369047619047,0.3146096182891178,14
Household production,2014-12-19,0.26275,0.2909435610488948,14
Household production,2014-12-20,0.2751160714285714,0.2942035429320384,14
Household production,2014-12-21,0.25019642857142854,0.2801633845030044,14
Household production,2014-12-22,0.29165476190476186,0.28940801298118324,14
Household production,2014-12-23,0.18460416666666665,0.15060691387852293,14
Household production,2014-12-24,0.19423809523809518,0.1755287482454732,14
Household production,2014-12-25,0.16462797619047617,0.1691860080078488,14
Household production,2014-12-26,0.2031755952380952,0.17571202613012915,14
Household production,2014-12-27,0.17950892857142856,0.1458098636595975,14
Household production,2014-12-28,0.20009821428571425,0.17700434709576116,14
Household production,2014-12-29,0.21498511904761902,0.18722817091099578,14
Household production,2014-12-30,0.20414130434782607,0.1700620734716911,15
