user,cluster_id,archetype_type,avg_fs,avg_log_kurtosis,avg_extreme_ratio,post_trend_slope
0001b3b2f18c01c62ed9b2a87de7b4e33e7836f786f7904471d8866978405c1b,1,B,0.4387,2.8115,0.0217,0.0
0004150214d14a2b2e6f7075531e661cf465b27ec4d0d53573866df2c97b8313,0,A,0.7907,2.8343,0.0236,-7e-06
000721f0fc6ccf02ae24b67393979513171f2abc119af07a7abed20ca303b665,1,B,0.4631,3.4036,0.0247,3e-06
0009b156f2a1213a137c150f4787150384938eac15cc2044a10c797d98667a91,1,B,0.506,2.53,0.025,1e-06
000da4922a91b9895f9f871225d8e3b9a1bbd51c3a29100b14864b75f0188534,2,C,0.261,5.7035,0.018,1e-06
001be27fc1f3e2daa58919a9de02e9e1b4a2ffb0fc8ebe2acb747f52a30acf32,1,B,0.5437,2.4215,0.0216,2e-06
002da62dc54b7a789473182feddfad7c185a94608196e9169bf61a17a90e6915,1,B,0.4526,3.0103,0.024,-0.0
00360f8639d63be18f35bf7181f155f69bf176003b5ee3916ea427c508085a35,1,B,0.4434,2.858,0.0226,-6e-06
00489151865c9806ea977413603cc72b8bc27ff57350e878fcbedcb4d69317b1,2,C,0.3784,4.537,0.0183,-6e-06
004a149b06c038586f30361ac6f16adb2ee32aee5f80784a4bda6a257814a9a4,1,B,0.4307,3.0452,0.0227,8e-06
0050b980111bad9422575db977d18199b5426cfa491073e4be3efa1acb1aa136,1,B,0.3643,3.3675,0.0256,-1.1e-05
0051177c9c0ec5ba203990395f5e785e9e913321576aed98d30b9ccab17d5823,1,B,0.5303,3.0988,0.0247,-0.0
0052816ff7fcdf2a35953c34f9f2ea4c127623533e3274ce46bf0a7c3956f1ac,1,B,0.3929,3.1034,0.0211,-1e-06
005932ecd8e0888863372c2ca998801ea6a7f2fef1e9dde0035d5c68c92bc145,1,B,0.5107,2.8472,0.0239,4e-06
005b44a54261c2606e2c5c9a1e8ff47c933f023d59cb171c0df08cea878403bf,1,B,0.3467,2.3894,0.0217,1.5e-05
005e34f194141e43c7d90738e0d76a38f074f5afb8daf2540023f38851a85ac2,1,B,0.4185,3.1049,0.0189,-1e-06
0062c8d5ca7dfed574aab968f665978a9cb770a0d8f325cdfc741d3cd6f60cb1,1,B,0.4449,2.7244,0.0241,2e-06
00688d15088ce2e0fcb251e2cad627a0b1bd2f2d5c462c9fb28cd22449cbc8db,1,B,0.5257,2.2876,0.0224,4.6e-05
00740539bc141a16321919f2a16b6c364a38047b84bb982cf9165dc604fab931,1,B,0.5984,3.2913,0.0205,-1e-06
008991fb296b8cd6a34324ef4e67b8d5244048a602418cc9c7e7982660d34a11,1,B,0.5544,2.7588,0.0216,2e-05
0093f0f5f552471964e924c74d2d163fc47842fd5ac7d6519bc1ef705e478017,2,C,0.6439,4.3385,0.0179,1e-06
00983b85e8be33dbe113890de6f1e1566d7fa82a3562a7cc986e4075d3287a39,1,B,0.4719,2.6112,0.0256,4e-06
00991127eac61693a824e0eb0ccda185348907f621a1079d6e55e79292234ffe,0,A,0.9852,3.256,0.0316,2.7e-05
009d5a80c53ac2b2da3ba7419dacf6e22de58c96ce67f8ad3646f16340f1bff1,1,B,0.4152,3.3955,0.0213,0.0
00a1614dc0e671ec0ee50aa63f15a9018417717d3e000e2757966dadc0ae1f9c,1,B,0.5133,3.0175,0.023,4e-06
00a3e40e4b2e270f037660791016399b73ca116df989ea7fa640b9097247d2bb,1,B,0.5413,3.6815,0.0265,-2.7e-05
00ace226e25ab036833cf6d4546aff0e9e7f47514af0c7804a5b04cb27e0f940,1,B,0.6312,3.1103,0.0209,2e-06
00afe36f1b78e683be4ca713b50860920a18a1f0df2a6bf3a126d6f412abdce8,1,B,0.3529,3.3856,0.0216,6e-06
00b1b22bceeb8b1bc4f837ac1a0a3df3078728d284e39d596c59b8150b9d5c16,1,B,0.4142,2.8661,0.0279,-7e-06
00b1bbe1d82e9e1b5d4a1ae1dacd3ffa0e9191de495167f9bcf08e7003f77d15,1,B,0.5387,3.5295,0.0251,-3e-06
00b4d78ec0b3335fca95369ec6a6d9e882c5ffaea59ea07ed31337a327f4ecca,1,B,0.4553,2.5493,0.0228,4e-06
00b655f77a0bf8c12323560fa1cd609548ab10782e495b2c63b2c1c56c537305,1,B,0.485,2.8659,0.0219,3e-06
00c5991efb1af9629b7893e3e53a306ea2f8e9fec5f82e23a10fcabc718395e9,1,B,0.6056,2.2099,0.021,1e-05
00ce89cae9f1cbd055f58f14f5953f9eda89f1aa7cc92061f566377c101c8663,1,B,0.4528,2.5666,0.0198,1e-06
00d37f24e699dbb982298a5d40c48cc47461c006e778f608b018898820944533,2,C,0.4419,4.5911,0.0159,-3e-06
00db2f868b1075624b10684c1bbade33552a0490b27e01d911d7f702f6ca463d,1,B,0.4344,2.8706,0.0217,3e-06
00dcd8d903f75e1f22baa037a7a3ab0fd9bc883614a00ca930381704f7e5d31d,1,B,0.4225,3.166,0.0233,1e-06
00e344d941efbfcc1c77e1dd5001d095c2f65419ebc782e1405653a9ca7b235b,1,B,0.4147,2.912,0.0247,0.0
00f65dfea3154759e9d144ff1af16082da775db7c80f83ad4b8951d066722363,1,B,0.4398,2.897,0.0254,1.1e-05
00f7189c9ec7fbcbbe81afa96130bfdf48c785ae06be1191ceac99a88724d8ca,1,B,0.5154,2.67,0.0251,0.0
01074cf47884dc6d89b1ac89fa8d6b653b864659426f3706e22268311dac3c83,2,C,0.3309,4.2528,0.0198,8e-06
01121b575bfd5ed17ca6194198d37ec8cba324fb953598a9b167799df295c557,1,B,0.4361,3.4933,0.0213,-2e-06
011375df76f7dd9c6e3efd7db6d1d83c4742c8b9dd27c4b80bc21cc29491c784,1,B,0.5603,2.1617,0.0209,1.2e-05
0114258568d7d465e28b4e58e7327141653185b16e0da0cfe7296421117b1fc3,1,B,0.4377,3.1223,0.0217,1e-06
0119a1ba86a11a6b0e060d15ef6866f116d513d47cb551d0617bc3fc441236db,1,B,0.3846,4.2877,0.0232,-1e-06
011d9e64d113df6599990cee76348bf30e739cdd10049769cfdbd36d75c00fd5,1,B,0.4945,2.7583,0.0263,2e-06
0134e581bd866a6e284656d3938c9d21db82290cc74c6ee69a0b9be607f08479,1,B,0.4455,3.1365,0.0252,5e-06
013534f14bc222adf7625b2d118bc05185337f04885e688f9f11d71843042cc0,1,B,0.5018,2.2624,0.0202,1.4e-05
014516e8d5cc934526d553cecdde999b7e8c9c42e48779bece9293d10e8b40e0,1,B,0.9786,3.0842,0.0254,-0.000267
015647991b19619d70279fbc9c5938c2ee653f376687ef34bf05a195b05c21ee,1,B,0.4929,4.0349,0.0268,3.8e-05
0157ccc02bc7d96d5972685c6c1050a65495d813dede780282525e1cd66f1e63,1,B,0.4634,2.8915,0.0239,-0.0
015efff33e90b5ea09c3d83ee38f10fa3422c7f6fc872399f8227895631a2aa4,1,B,0.3057,4.4893,0.0245,1e-06
01624eb4da09be5bc8e171658bb2a269e4f800d956cf4a67fda174e7e664c595,1,B,0.5635,2.2628,0.0195,1.5e-05
017300e2fd83090ac90bcd222edaaa7aa2822b2610166f2132c2ad97b9b92ab1,1,B,0.4939,2.7035,0.0234,1.6e-05
01746e006a98e4645cc5befc286757dbcb33cb64e438f49b1b4a7919c970e3b0,1,B,0.4901,2.2315,0.0231,6.1e-05
018691ce738b789921141c0a480a61dd2d44c1e4585e83a4c092a80a934ebe16,1,B,0.4482,2.4431,0.0217,-1.1e-05
018e50c6e1078b5cc2d18a94e4f540165d9fdd0195a04f8a199f978c4dc0d160,1,B,0.5275,2.4725,0.0224,1.1e-05
018ece787233eff982a4115408054948afd730595016c9d0e3fdc74023cbc84d,0,A,0.9991,4.3253,0.0173,9e-06
018fa8df0d78c310e1b156ebd22d869e72044207230ba2fb02613d5b816a8c24,1,B,0.4604,1.821,0.0118,-2.7e-05
01962f8bcdff51f9b3aaa1fdd48685a3260aca67705740eca093614977455a1d,1,B,0.4847,2.8123,0.0199,-2.8e-05
01a5c1e04b4a52f7e3bd6d8fa8d93ab30e792c522c6ef671199796e508417fc5,1,B,0.5129,3.104,0.0204,-2e-06
01b4e499376cdfff491f7b98fff207e636353c5bec30a2f524d8c50ad87b7ffa,1,B,0.3992,3.602,0.0248,-9e-06
01bf4569d5dbcc13a7995f9d3340576c4db03e101a6550510ecaa0fcb930a55a,1,B,0.3534,3.6216,0.0251,-1e-06
01c14e8c465eb4d4ef92f0b89a6528a223b01fe89f0d970e6385b6e882a12374,2,C,0.4956,3.8441,0.0155,1e-06
01c7287cb243a5b74e8b8e9d3df25ff1946540b31395ee02f7aba6aacee8f188,2,C,0.5211,4.4336,0.0206,-7e-06
01d3e92b5c9e608888d9c0da7fec1947a22b6ad6f5c71d923be32eb7318d9b6c,1,B,0.3535,3.3048,0.0275,-4e-06
01d89747ca395407e9734cfb74db5e3288b833ced9917d3335f80fa28e378510,0,A,0.7706,2.3451,0.0225,7.9e-05
01dc9b9706d71df193e526f77815671a520c8a8569abff96dfacc154b351527e,1,B,0.4667,2.6756,0.0245,2e-06
01de53105bcf600603126eb8fc4bef87498300c18777ca61af3f092c7ad3a2db,1,B,0.5944,3.2525,0.0251,9e-06
