seed,city,model,MAE,RMSE,MAPE(%),elapsed_s
81,Vitoria-Gasteiz,N-BEATS v2,0.014954839615971754,0.02011624486001662,5.17056280340052,2.8
81,Vitoria-Gasteiz,LSTM v2,0.024673087295030354,0.031144372720841,8.445088164424428,8.4
81,Vitoria-Gasteiz,Ridge,0.018737535501993773,0.025187523101425184,6.4263562139398696,0.0
81,Vitoria-Gasteiz,Random Forest,0.015621281534098502,0.021740754734183028,5.484601494558318,0.4
81,Donostia/San Sebastian,N-BEATS v2,0.014116018222960634,0.019114978302620503,3.6377976441050195,5.1
81,Donostia/San Sebastian,LSTM v2,0.021659048435827218,0.029365382792906115,5.451317274865435,5.8
81,Donostia/San Sebastian,Ridge,0.014528022192011193,0.020020982931630803,3.7292627642195675,0.0
81,Donostia/San Sebastian,Random Forest,0.012864449313020025,0.01890217123268986,3.2814680397119655,0.4
81,Pamplona/Iruna,N-BEATS v2,0.01744555939940337,0.023417805089575812,4.933451857468936,3.0
81,Pamplona/Iruna,LSTM v2,0.02127755704131878,0.02771368647703009,5.975687038854629,8.1
81,Pamplona/Iruna,Ridge,0.0167016341489012,0.02214937750220903,4.713310160353887,0.0
81,Pamplona/Iruna,Random Forest,0.0164322564295989,0.022701058445015847,4.653777349053437,0.3
