Model,MAE,RMSE,MAPE(%),sMAPE(%)
SARIMA,3.998100092636338e-05,5.282779642965737e-05,14.93822789392991,16.877405486574226
Seasonal Naive (365d),4.958728203159471e-05,5.830940853067807e-05,21.549623924661486,18.8517096800408
Rolling Mean (7d),4.751831921892398e-05,6.022129390252762e-05,17.87922932434944,20.517506734610354
N-BEATS v2 (covariate-conditioned),4.598883741714966e-05,6.383432165537235e-05,19.497313964559165,20.104430531288777
Naive,5.860612924211299e-05,6.998129976147807e-05,22.45411641588736,26.265615832645377
Random Forest Features,1.5723262073029312e-05,8.894885097663611e-05,6.546817476508693,4.9096172727472025
LSTM v2 (dual-stream),0.000558911707861328,0.0006782940265404795,238.36714917705143,98.72298096366002
Ridge Features,0.0018229513625679101,0.0023346113253210634,752.7007311119877,161.5245924412457
Hybrid v2 SeasonalNaive(365d)+ResidualLSTM,0.005078472539773621,0.0058485511022164606,2058.5089747869724,199.6311172490814
SARIMAX,0.007153794855079046,0.00851216796164598,3016.984191786598,176.57735708808448
