Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,3.5112245618086944e-05,3.9554494465577825e-05,7.255063528220214,6.9471960000526884
N-BEATS v2 (covariate-conditioned),2.9791097882802886e-05,4.1024664851295456e-05,5.778618432811133,5.940426772471983
LSTM v2 (dual-stream),3.483234449371179e-05,4.5490518657214514e-05,7.5137763346041995,7.237281842712523
SARIMA,7.166929690859028e-05,8.995130676684346e-05,14.576644179974346,14.574271229306765
Seasonal Naive (365d),8.741811884734764e-05,0.00010057356566960084,18.68109865043996,16.84847680615685
Naive,8.863377717085637e-05,0.00011384785940631595,16.52827459868663,18.798698970076746
Hybrid v2 SeasonalNaive(365d)+ResidualLSTM,9.719190885049313e-05,0.0001179812686949435,19.691283484672876,22.977411261797187
Rolling Mean (7d),0.00011387833173413219,0.00013687346125783214,21.606112440893902,25.192085858454583
Ridge Features,0.00014652789947105732,0.00019047872063089938,32.66683092322315,42.56611605051436
SARIMAX,0.0051153175819335294,0.0057727801216258395,1072.3507635136662,155.07980074915645
