Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,1.2605210875850397e-05,1.7129014600812595e-05,6.129898218795452,6.016343257591453
Seasonal Naive (365d),3.873976565161971e-05,4.702302444241548e-05,19.64814680728638,17.30133274087004
Naive,7.257105334370164e-05,8.449636213329159e-05,31.351197617629577,38.75274417172587
N-BEATS v2 (covariate-conditioned),7.351291747007442e-05,8.577610811530032e-05,38.95330875191822,30.480555543750693
Rolling Mean (7d),7.68887763099472e-05,8.857449709954928e-05,33.3658024061133,41.71139821722716
SARIMA,7.458451569894433e-05,0.00010499635975328193,39.06766193688857,28.198422594901484
SARIMAX,0.0002120453402157442,0.0002166868575508416,100.0,200.0
LSTM v2 (dual-stream),0.00025288951386578,0.0002819389477031254,119.56232898928798,143.53040073250855
Ridge Features,0.002742691136920037,0.0033770087687693203,1434.866257064401,169.9004141459128
Hybrid v2 SeasonalNaive(365d)+ResidualLSTM,0.0033459779822064893,0.003996994706234808,1554.8318638510996,193.85336972426387
