Model,MAE,RMSE,MAPE(%),sMAPE(%)
SARIMAX,0.010940434778144614,0.014964397287879553,3.152553680866209,3.062922031193789
N-BEATS v2 (covariate-conditioned),0.013238306665285103,0.018311674228892197,3.380296468200492,3.400265036908365
Ridge Features,0.013945672915957148,0.01926261781909397,3.5304803650263943,3.617493620244049
Random Forest Features,0.02276404825097326,0.0266707244711264,5.780706186081091,6.0049662371918116
LSTM v2 (dual-stream),0.024399877133646514,0.03276137536991266,6.075726859497295,6.264355125412732
Seasonal Naive (365d),0.03996717267532151,0.05234064293633352,10.675068095104084,10.31504871187397
SARIMA,0.054116343065738336,0.07317060271080258,12.98246684320481,14.379465776375167
Rolling Mean (7d),0.07391727728743666,0.09383929498053044,17.83348024299027,20.468009701643318
Naive,0.0911695718834533,0.10902718299055339,22.4007723487913,26.205215420356254
Hybrid v2 SeasonalNaive(365d)+ResidualLSTM,0.13569787197001162,0.1556773600656847,37.7724501564721,30.3791238433421
