Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.011349316399624223,0.013858091815703643,3.1207032891776905,3.185203823420731
Ridge Features,0.013605612089307662,0.017146617937438772,3.8770323661770023,3.907384137333884
N-BEATS v2 (covariate-conditioned),0.0158844158859836,0.022684324622839067,4.421110444152884,4.440588513703374
SARIMAX,0.023004763710155966,0.0264706565837506,6.233775667230559,6.4833605282051625
LSTM v2 (dual-stream),0.024012002135193975,0.03046683791112668,6.823741942049749,6.876322475074965
Seasonal Naive (365d),0.033778852814435156,0.047294562065638236,9.250158975892129,9.715094105713163
SARIMA,0.05220017962081411,0.06626303180266305,14.921839139471201,14.642405617073685
Naive,0.06370607962717666,0.08200289182592102,16.478045639702295,18.739914565999204
Rolling Mean (7d),0.08175351278129286,0.0985368080763888,21.50649869893109,25.078651563046378
Hybrid v2 SeasonalNaive(365d)+ResidualLSTM,0.08225790616467377,0.10487722001371272,22.020575884553935,26.1120803195135
