Model,MAE,RMSE,MAPE(%),sMAPE(%)
N-BEATS v2 (covariate-conditioned),0.015384665518924607,0.02067649290808216,5.309346903913716,5.304660543976913
Ridge Features,0.014967192077344925,0.021049606583513854,5.125640735195942,5.1275962823612815
Random Forest Features,0.02281570401341887,0.0264436454147723,7.345931031078511,7.6781612382382045
LSTM v2 (dual-stream),0.029609309087521893,0.039191226528697484,9.667287743553993,9.984962789840688
Seasonal Naive (365d),0.03441170615486728,0.045032775491820325,12.30259934363129,11.785853207301338
Hybrid v2 SeasonalNaive(365d)+ResidualLSTM,0.0640136152270489,0.0777607400784144,24.30090775223005,20.498308565749348
Naive,0.09861540135522669,0.1149422638577838,31.29701305063439,38.68745463780541
Rolling Mean (7d),0.10449182231228692,0.12048697510543892,33.31345633795094,41.64634969341737
SARIMAX,0.15571358385982947,0.16910132444885576,52.98975756801082,77.55252902977115
SARIMA,0.22139728584399218,0.23920344457259968,74.85127537893793,132.38267218852423
