Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.00023340184379438947,0.0004433743838992809,0.05508032362403195,0.05506922415455139
Ridge Features,0.0028474493611925864,0.0039441010810614295,0.6983953930830838,0.702172620266534
N-BEATS v2 (covariate-conditioned),0.014790572204598977,0.02045005290135802,3.7886077084238106,3.816172923466374
SARIMAX,0.022631038166671166,0.03068478080977059,6.6063073138283706,6.20837163976631
LSTM v2 (dual-stream),0.023656029777312137,0.0308646444910154,6.002520372231556,6.123733594286264
Seasonal Naive (365d),0.03996717267532151,0.05234064293633352,10.675068095104084,10.31504871187397
Rolling Mean (7d),0.07391727728743666,0.09383929498053044,17.83348024299027,20.468009701643318
SARIMA,0.08447596840668112,0.10178870154924881,20.83418144994961,24.14260821628934
Naive,0.0911695718834533,0.10902718299055339,22.4007723487913,26.205215420356254
Hybrid v2 SeasonalNaive(365d)+ResidualLSTM,0.11435644670380618,0.1374024352314637,32.03074740539474,26.293359285780777
