Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.0006273361039725178,0.0017729383164147917,0.1677581452042421,0.16806285355168585
Ridge Features,0.0017990643852587825,0.002616325457878096,0.5598378616199482,0.5613339341598252
N-BEATS v2 (covariate-conditioned),0.0160231524682756,0.021491290320647238,5.6306160915196415,5.551741706006135
LSTM v2 (dual-stream),0.03086124144752148,0.04007740668111188,10.186192606614028,10.517768229074754
Seasonal Naive (365d),0.03441170615486728,0.045032775491820325,12.30259934363129,11.785853207301338
Hybrid v2 SeasonalNaive(365d)+ResidualLSTM,0.05703842651618141,0.07270205933501787,21.671066408958218,18.513523669043643
Naive,0.09861540135522669,0.1149422638577838,31.29701305063439,38.68745463780541
Rolling Mean (7d),0.10449182231228692,0.12048697510543892,33.31345633795094,41.64634969341737
SARIMAX,0.19101763762718046,0.2077202771696558,65.44143747701435,106.7819812897115
SARIMA,0.24871424551350685,0.2693085487418521,85.3265192918179,139.93682209011473
