Model,MAE,RMSE,MAPE(%),sMAPE(%)
SARIMAX,1.4035683461837563e-07,1.8703854897238134e-07,7.355926208108228e-05,7.355930043528619e-05
Ridge Features,0.00031676393335662226,0.00045965390011284133,0.19756147811632857,0.19803740567001066
Random Forest Features,0.0003028491584946981,0.0014776338713746186,0.21633456957772307,0.2102606538052472
N-BEATS simplified,0.016329267332355006,0.02185610472586857,8.960491619288316,8.914885056767305
Naive,0.01923094606032626,0.025944891344107577,10.216198629049805,10.512246420101395
Rolling Mean (7d),0.01945857104383766,0.026276247558106074,10.285664551356179,10.641978898622925
LSTM,0.021043091976301415,0.026563569338449687,12.07422194535273,11.286899206994734
Hybrid SeasonalNaive(365d)+ResidualNN,0.021550069818023734,0.0269587880601676,12.078272356180046,12.339021557631073
Seasonal Naive (365d),0.032933586666034534,0.04100420859495046,19.07240860697904,16.838772487939416
SARIMA,0.07367826106442217,0.08696080888539921,39.619577173443,54.54515060551542
