Model,MAE,RMSE,MAPE(%),sMAPE(%)
Random Forest Features,0.0002546505503131372,0.0005358692089298003,0.06346925300840758,0.06342962288616222
Ridge Features,0.0012886256688393472,0.0019306275501326585,0.34457094794410004,0.34502405415524573
SARIMAX,0.01642557171292562,0.02002284351012624,4.358278967884113,4.491764663531406
N-BEATS simplified,0.0172082946192179,0.02373507295404245,4.837818630739994,4.781344433735733
LSTM,0.025964961905683634,0.03314186851306771,7.195686735623186,7.3777593612944985
Naive,0.06370607962717666,0.08200289182592102,16.478045639702295,18.739914565999204
SARIMA,0.07718379801113083,0.09287379448041107,20.42443412229463,23.614061978932067
Seasonal Naive (7d),0.08158288521902551,0.0984878030030713,21.4493343851764,25.019000303236155
Rolling Mean (7d),0.08175351278129286,0.0985368080763888,21.50649869893109,25.078651563046378
Hybrid SeasonalNaive(7d)+ResidualNN,0.08228839148469796,0.09975017446149174,22.052942558893285,26.048995558509365
