,Vitoria-Gasteiz,Donostia/San Sebastian,Pamplona/Iruna,mean
pct_rank_global,0.5148814320794003,0.507896600343701,0.5153392176556622,0.5127057500262545
zscore_municipality,0.4846955375037052,0.4831390254212683,0.4844340319832015,0.48408953163605833
roll7_mean,2.0173883867700287e-05,0.004859381753944979,1.6815008166370643e-05,0.001632123548659683
lag_1d,0.0001388230140370574,0.0028022956479178034,1.3458585747916478e-05,0.0009848590825675923
lag_7d,1.4042051912709036e-05,0.0009980410982416235,2.1770745956475338e-05,0.0003446179653702693
roll30_mean,1.6995541145450877e-05,9.368637419576424e-05,3.7732261072445154e-05,4.947139213788676e-05
lag_14d,1.0704093512804574e-05,7.526178349018364e-05,4.3222925903723633e-05,4.3062934302237284e-05
lag_30d,5.6768380168883586e-05,2.641699300852714e-05,9.958887193779281e-06,3.104808679039667e-05
dod_change,5.4094962535599626e-05,1.3357349691597586e-05,8.348218650623518e-06,2.5266843625940246e-05
roll7_ratio,2.111777475495659e-05,2.4879675076737214e-05,1.8620762641824317e-05,2.1539404157839372e-05
roll7_std,1.8019941840843426e-05,1.4549458476734687e-05,2.8549510380933805e-05,2.0372970232837306e-05
week_of_year,2.7124447805452546e-05,1.0940962954289672e-05,9.309524032558507e-06,1.5791644930766908e-05
wow_change,1.5419809949285185e-05,2.2187711292567485e-05,9.725193292815062e-06,1.577757151155591e-05
day_of_week,1.4837348544515229e-05,1.2477041008951446e-05,4.459241005384171e-06,1.0591210186283616e-05
month,1.0047455472503227e-05,5.651812426744971e-06,3.6588945731523528e-06,6.452720824133517e-06
is_holiday_pt,2.0766698633749315e-06,2.344420061104146e-06,9.409665761455583e-08,1.5050621940312113e-06
quarter,9.634566386222389e-07,1.8334817031550177e-06,6.57540435608813e-07,1.1514929257953565e-06
is_weekend,1.314327673219138e-06,1.0274124174575642e-06,3.51158672453022e-07,8.976329210432414e-07
is_bridge_day,5.072571715817496e-07,4.1259122414121004e-08,1.780675260601254e-08,1.887743488672944e-07
