,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,18,100.0,18
1,in,Daily,0.5,13,72.2,18
2,in,Daily,0.6,8,44.4,18
3,in,Daily,0.8,1,5.6,18
4,in,Weekly,0.3,18,100.0,18
5,in,Weekly,0.5,13,72.2,18
6,in,Weekly,0.6,5,27.8,18
7,in,Weekly,0.8,0,0.0,18
8,post,Daily,0.3,19,90.5,21
9,post,Daily,0.5,8,38.1,21
10,post,Daily,0.6,3,14.3,21
11,post,Daily,0.8,1,4.8,21
12,post,Weekly,0.3,21,100.0,21
13,post,Weekly,0.5,9,42.9,21
14,post,Weekly,0.6,4,19.0,21
15,post,Weekly,0.8,0,0.0,21
16,pre,Daily,0.3,8,88.9,9
17,pre,Daily,0.5,6,66.7,9
18,pre,Daily,0.6,1,11.1,9
19,pre,Daily,0.8,1,11.1,9
20,pre,Weekly,0.3,9,100.0,9
21,pre,Weekly,0.5,5,55.6,9
22,pre,Weekly,0.6,1,11.1,9
23,pre,Weekly,0.8,0,0.0,9
