,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,86,86.9,99
1,in,Daily,0.5,49,49.5,99
2,in,Daily,0.6,37,37.4,99
3,in,Daily,0.8,4,4.0,99
4,in,Weekly,0.3,92,92.9,99
5,in,Weekly,0.5,66,66.7,99
6,in,Weekly,0.6,43,43.4,99
7,in,Weekly,0.8,12,12.1,99
8,post,Daily,0.3,84,81.6,103
9,post,Daily,0.5,45,43.7,103
10,post,Daily,0.6,33,32.0,103
11,post,Daily,0.8,3,2.9,103
12,post,Weekly,0.3,93,90.3,103
13,post,Weekly,0.5,62,60.2,103
14,post,Weekly,0.6,45,43.7,103
15,post,Weekly,0.8,17,16.5,103
16,pre,Daily,0.3,67,89.3,75
17,pre,Daily,0.5,37,49.3,75
18,pre,Daily,0.6,25,33.3,75
19,pre,Daily,0.8,3,4.0,75
20,pre,Weekly,0.3,68,90.7,75
21,pre,Weekly,0.5,51,68.0,75
22,pre,Weekly,0.6,32,42.7,75
23,pre,Weekly,0.8,6,8.0,75
