,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,4,100.0,4
1,in,Daily,0.5,4,100.0,4
2,in,Daily,0.6,2,50.0,4
3,in,Daily,0.8,0,0.0,4
4,in,Weekly,0.3,4,100.0,4
5,in,Weekly,0.5,3,75.0,4
6,in,Weekly,0.6,1,25.0,4
7,in,Weekly,0.8,0,0.0,4
8,post,Daily,0.3,5,100.0,5
9,post,Daily,0.5,2,40.0,5
10,post,Daily,0.6,1,20.0,5
11,post,Daily,0.8,0,0.0,5
12,post,Weekly,0.3,5,100.0,5
13,post,Weekly,0.5,1,20.0,5
14,post,Weekly,0.6,1,20.0,5
15,post,Weekly,0.8,1,20.0,5
16,pre,Daily,0.3,3,100.0,3
17,pre,Daily,0.5,2,66.7,3
18,pre,Daily,0.6,1,33.3,3
19,pre,Daily,0.8,0,0.0,3
20,pre,Weekly,0.3,3,100.0,3
21,pre,Weekly,0.5,2,66.7,3
22,pre,Weekly,0.6,0,0.0,3
23,pre,Weekly,0.8,0,0.0,3
