,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,8,88.9,9
1,in,Daily,0.5,3,33.3,9
2,in,Daily,0.6,3,33.3,9
3,in,Daily,0.8,1,11.1,9
4,in,Weekly,0.3,9,100.0,9
5,in,Weekly,0.5,5,55.6,9
6,in,Weekly,0.6,3,33.3,9
7,in,Weekly,0.8,1,11.1,9
8,post,Daily,0.3,10,90.9,11
9,post,Daily,0.5,3,27.3,11
10,post,Daily,0.6,2,18.2,11
11,post,Daily,0.8,0,0.0,11
12,post,Weekly,0.3,10,90.9,11
13,post,Weekly,0.5,3,27.3,11
14,post,Weekly,0.6,2,18.2,11
15,post,Weekly,0.8,0,0.0,11
16,pre,Daily,0.3,8,100.0,8
17,pre,Daily,0.5,4,50.0,8
18,pre,Daily,0.6,3,37.5,8
19,pre,Daily,0.8,0,0.0,8
20,pre,Weekly,0.3,8,100.0,8
21,pre,Weekly,0.5,5,62.5,8
22,pre,Weekly,0.6,2,25.0,8
23,pre,Weekly,0.8,0,0.0,8
