,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,86,95.6,90
1,in,Daily,0.5,71,78.9,90
2,in,Daily,0.6,64,71.1,90
3,in,Daily,0.8,10,11.1,90
4,in,Weekly,0.3,87,96.7,90
5,in,Weekly,0.5,77,85.6,90
6,in,Weekly,0.6,72,80.0,90
7,in,Weekly,0.8,32,35.6,90
8,post,Daily,0.3,85,91.4,93
9,post,Daily,0.5,71,76.3,93
10,post,Daily,0.6,57,61.3,93
11,post,Daily,0.8,15,16.1,93
12,post,Weekly,0.3,88,94.6,93
13,post,Weekly,0.5,79,84.9,93
14,post,Weekly,0.6,68,73.1,93
15,post,Weekly,0.8,42,45.2,93
16,pre,Daily,0.3,67,93.1,72
17,pre,Daily,0.5,60,83.3,72
18,pre,Daily,0.6,54,75.0,72
19,pre,Daily,0.8,13,18.1,72
20,pre,Weekly,0.3,69,95.8,72
21,pre,Weekly,0.5,62,86.1,72
22,pre,Weekly,0.6,57,79.2,72
23,pre,Weekly,0.8,36,50.0,72
