,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,3,100.0,3
1,in,Daily,0.5,2,66.7,3
2,in,Daily,0.6,2,66.7,3
3,in,Daily,0.8,0,0.0,3
4,in,Weekly,0.3,3,100.0,3
5,in,Weekly,0.5,2,66.7,3
6,in,Weekly,0.6,0,0.0,3
7,in,Weekly,0.8,0,0.0,3
8,post,Daily,0.3,3,75.0,4
9,post,Daily,0.5,2,50.0,4
10,post,Daily,0.6,2,50.0,4
11,post,Daily,0.8,0,0.0,4
12,post,Weekly,0.3,2,50.0,4
13,post,Weekly,0.5,1,25.0,4
14,post,Weekly,0.6,1,25.0,4
15,post,Weekly,0.8,0,0.0,4
16,pre,Daily,0.3,2,100.0,2
17,pre,Daily,0.5,0,0.0,2
18,pre,Daily,0.6,0,0.0,2
19,pre,Daily,0.8,0,0.0,2
20,pre,Weekly,0.3,0,0.0,2
21,pre,Weekly,0.5,0,0.0,2
22,pre,Weekly,0.6,0,0.0,2
23,pre,Weekly,0.8,0,0.0,2
