,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,5,83.3,6
1,in,Daily,0.5,1,16.7,6
2,in,Daily,0.6,0,0.0,6
3,in,Daily,0.8,0,0.0,6
4,in,Weekly,0.3,6,100.0,6
5,in,Weekly,0.5,3,50.0,6
6,in,Weekly,0.6,1,16.7,6
7,in,Weekly,0.8,0,0.0,6
8,post,Daily,0.3,7,100.0,7
9,post,Daily,0.5,2,28.6,7
10,post,Daily,0.6,1,14.3,7
11,post,Daily,0.8,0,0.0,7
12,post,Weekly,0.3,7,100.0,7
13,post,Weekly,0.5,3,42.9,7
14,post,Weekly,0.6,2,28.6,7
15,post,Weekly,0.8,0,0.0,7
16,pre,Daily,0.3,4,80.0,5
17,pre,Daily,0.5,0,0.0,5
18,pre,Daily,0.6,0,0.0,5
19,pre,Daily,0.8,0,0.0,5
20,pre,Weekly,0.3,5,100.0,5
21,pre,Weekly,0.5,2,40.0,5
22,pre,Weekly,0.6,1,20.0,5
23,pre,Weekly,0.8,0,0.0,5
