,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,3,100.0,3
1,in,Daily,0.5,3,100.0,3
2,in,Daily,0.6,3,100.0,3
3,in,Daily,0.8,2,66.7,3
4,in,Weekly,0.3,3,100.0,3
5,in,Weekly,0.5,3,100.0,3
6,in,Weekly,0.6,3,100.0,3
7,in,Weekly,0.8,3,100.0,3
8,post,Daily,0.3,5,100.0,5
9,post,Daily,0.5,5,100.0,5
10,post,Daily,0.6,4,80.0,5
11,post,Daily,0.8,2,40.0,5
12,post,Weekly,0.3,5,100.0,5
13,post,Weekly,0.5,5,100.0,5
14,post,Weekly,0.6,5,100.0,5
15,post,Weekly,0.8,3,60.0,5
16,pre,Daily,0.3,3,100.0,3
17,pre,Daily,0.5,3,100.0,3
18,pre,Daily,0.6,3,100.0,3
19,pre,Daily,0.8,2,66.7,3
20,pre,Weekly,0.3,3,100.0,3
21,pre,Weekly,0.5,3,100.0,3
22,pre,Weekly,0.6,3,100.0,3
23,pre,Weekly,0.8,2,66.7,3
