,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,12389,97.6,12689
1,in,Daily,0.5,5763,45.4,12689
2,in,Daily,0.6,1795,14.1,12689
3,in,Daily,0.8,279,2.2,12689
4,in,Weekly,0.3,12336,97.2,12689
5,in,Weekly,0.5,6207,48.9,12689
6,in,Weekly,0.6,1986,15.7,12689
7,in,Weekly,0.8,257,2.0,12689
8,post,Daily,0.3,13895,97.1,14304
9,post,Daily,0.5,4119,28.8,14304
10,post,Daily,0.6,1411,9.9,14304
11,post,Daily,0.8,267,1.9,14304
12,post,Weekly,0.3,13777,96.3,14304
13,post,Weekly,0.5,5010,35.0,14304
14,post,Weekly,0.6,1609,11.2,14304
15,post,Weekly,0.8,248,1.7,14304
16,pre,Daily,0.3,9513,97.8,9730
17,pre,Daily,0.5,3092,31.8,9730
18,pre,Daily,0.6,1038,10.7,9730
19,pre,Daily,0.8,234,2.4,9730
20,pre,Weekly,0.3,9449,97.1,9730
21,pre,Weekly,0.5,3787,38.9,9730
22,pre,Weekly,0.6,1163,12.0,9730
23,pre,Weekly,0.8,199,2.0,9730
