,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,2,50.0,4
1,in,Daily,0.5,1,25.0,4
2,in,Daily,0.6,1,25.0,4
3,in,Daily,0.8,0,0.0,4
4,in,Weekly,0.3,4,100.0,4
5,in,Weekly,0.5,2,50.0,4
6,in,Weekly,0.6,1,25.0,4
7,in,Weekly,0.8,0,0.0,4
8,post,Daily,0.3,1,33.3,3
9,post,Daily,0.5,0,0.0,3
10,post,Daily,0.6,0,0.0,3
11,post,Daily,0.8,0,0.0,3
12,post,Weekly,0.3,3,100.0,3
13,post,Weekly,0.5,0,0.0,3
14,post,Weekly,0.6,0,0.0,3
15,post,Weekly,0.8,0,0.0,3
16,pre,Daily,0.3,3,75.0,4
17,pre,Daily,0.5,2,50.0,4
18,pre,Daily,0.6,1,25.0,4
19,pre,Daily,0.8,0,0.0,4
20,pre,Weekly,0.3,4,100.0,4
21,pre,Weekly,0.5,2,50.0,4
22,pre,Weekly,0.6,2,50.0,4
23,pre,Weekly,0.8,0,0.0,4
