,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,2,100.0,2
1,in,Daily,0.5,2,100.0,2
2,in,Daily,0.6,1,50.0,2
3,in,Daily,0.8,0,0.0,2
4,in,Weekly,0.3,2,100.0,2
5,in,Weekly,0.5,2,100.0,2
6,in,Weekly,0.6,1,50.0,2
7,in,Weekly,0.8,0,0.0,2
8,post,Daily,0.3,2,100.0,2
9,post,Daily,0.5,2,100.0,2
10,post,Daily,0.6,1,50.0,2
11,post,Daily,0.8,0,0.0,2
12,post,Weekly,0.3,2,100.0,2
13,post,Weekly,0.5,2,100.0,2
14,post,Weekly,0.6,1,50.0,2
15,post,Weekly,0.8,0,0.0,2
16,pre,Daily,0.3,1,100.0,1
17,pre,Daily,0.5,1,100.0,1
18,pre,Daily,0.6,0,0.0,1
19,pre,Daily,0.8,0,0.0,1
20,pre,Weekly,0.3,1,100.0,1
21,pre,Weekly,0.5,1,100.0,1
22,pre,Weekly,0.6,0,0.0,1
23,pre,Weekly,0.8,0,0.0,1
