,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,9,90.0,10
1,in,Daily,0.5,4,40.0,10
2,in,Daily,0.6,2,20.0,10
3,in,Daily,0.8,0,0.0,10
4,in,Weekly,0.3,8,80.0,10
5,in,Weekly,0.5,5,50.0,10
6,in,Weekly,0.6,2,20.0,10
7,in,Weekly,0.8,0,0.0,10
8,post,Daily,0.3,8,88.9,9
9,post,Daily,0.5,4,44.4,9
10,post,Daily,0.6,3,33.3,9
11,post,Daily,0.8,0,0.0,9
12,post,Weekly,0.3,9,100.0,9
13,post,Weekly,0.5,6,66.7,9
14,post,Weekly,0.6,4,44.4,9
15,post,Weekly,0.8,0,0.0,9
16,pre,Daily,0.3,6,75.0,8
17,pre,Daily,0.5,3,37.5,8
18,pre,Daily,0.6,2,25.0,8
19,pre,Daily,0.8,0,0.0,8
20,pre,Weekly,0.3,7,87.5,8
21,pre,Weekly,0.5,3,37.5,8
22,pre,Weekly,0.6,3,37.5,8
23,pre,Weekly,0.8,0,0.0,8
