,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,13,100.0,13
1,in,Daily,0.5,10,76.9,13
2,in,Daily,0.6,7,53.8,13
3,in,Daily,0.8,1,7.7,13
4,in,Weekly,0.3,12,92.3,13
5,in,Weekly,0.5,11,84.6,13
6,in,Weekly,0.6,10,76.9,13
7,in,Weekly,0.8,2,15.4,13
8,post,Daily,0.3,16,94.1,17
9,post,Daily,0.5,11,64.7,17
10,post,Daily,0.6,8,47.1,17
11,post,Daily,0.8,0,0.0,17
12,post,Weekly,0.3,16,94.1,17
13,post,Weekly,0.5,11,64.7,17
14,post,Weekly,0.6,11,64.7,17
15,post,Weekly,0.8,3,17.6,17
16,pre,Daily,0.3,10,100.0,10
17,pre,Daily,0.5,7,70.0,10
18,pre,Daily,0.6,5,50.0,10
19,pre,Daily,0.8,1,10.0,10
20,pre,Weekly,0.3,10,100.0,10
21,pre,Weekly,0.5,7,70.0,10
22,pre,Weekly,0.6,6,60.0,10
23,pre,Weekly,0.8,5,50.0,10
