,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,47,90.4,52
1,in,Daily,0.5,35,67.3,52
2,in,Daily,0.6,26,50.0,52
3,in,Daily,0.8,2,3.8,52
4,in,Weekly,0.3,46,88.5,52
5,in,Weekly,0.5,37,71.2,52
6,in,Weekly,0.6,31,59.6,52
7,in,Weekly,0.8,9,17.3,52
8,post,Daily,0.3,52,86.7,60
9,post,Daily,0.5,38,63.3,60
10,post,Daily,0.6,29,48.3,60
11,post,Daily,0.8,0,0.0,60
12,post,Weekly,0.3,53,88.3,60
13,post,Weekly,0.5,40,66.7,60
14,post,Weekly,0.6,36,60.0,60
15,post,Weekly,0.8,7,11.7,60
16,pre,Daily,0.3,38,90.5,42
17,pre,Daily,0.5,28,66.7,42
18,pre,Daily,0.6,18,42.9,42
19,pre,Daily,0.8,2,4.8,42
20,pre,Weekly,0.3,39,92.9,42
21,pre,Weekly,0.5,32,76.2,42
22,pre,Weekly,0.6,28,66.7,42
23,pre,Weekly,0.8,11,26.2,42
