,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,10,100.0,10
1,in,Daily,0.5,7,70.0,10
2,in,Daily,0.6,5,50.0,10
3,in,Daily,0.8,0,0.0,10
4,in,Weekly,0.3,10,100.0,10
5,in,Weekly,0.5,8,80.0,10
6,in,Weekly,0.6,5,50.0,10
7,in,Weekly,0.8,3,30.0,10
8,post,Daily,0.3,10,100.0,10
9,post,Daily,0.5,8,80.0,10
10,post,Daily,0.6,8,80.0,10
11,post,Daily,0.8,1,10.0,10
12,post,Weekly,0.3,10,100.0,10
13,post,Weekly,0.5,8,80.0,10
14,post,Weekly,0.6,7,70.0,10
15,post,Weekly,0.8,3,30.0,10
16,pre,Daily,0.3,8,100.0,8
17,pre,Daily,0.5,6,75.0,8
18,pre,Daily,0.6,5,62.5,8
19,pre,Daily,0.8,1,12.5,8
20,pre,Weekly,0.3,8,100.0,8
21,pre,Weekly,0.5,7,87.5,8
22,pre,Weekly,0.6,5,62.5,8
23,pre,Weekly,0.8,2,25.0,8
