,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,17,70.8,24
1,in,Daily,0.5,13,54.2,24
2,in,Daily,0.6,12,50.0,24
3,in,Daily,0.8,4,16.7,24
4,in,Weekly,0.3,19,79.2,24
5,in,Weekly,0.5,13,54.2,24
6,in,Weekly,0.6,11,45.8,24
7,in,Weekly,0.8,5,20.8,24
8,post,Daily,0.3,28,84.8,33
9,post,Daily,0.5,18,54.5,33
10,post,Daily,0.6,15,45.5,33
11,post,Daily,0.8,1,3.0,33
12,post,Weekly,0.3,25,75.8,33
13,post,Weekly,0.5,17,51.5,33
14,post,Weekly,0.6,13,39.4,33
15,post,Weekly,0.8,6,18.2,33
16,pre,Daily,0.3,13,86.7,15
17,pre,Daily,0.5,8,53.3,15
18,pre,Daily,0.6,4,26.7,15
19,pre,Daily,0.8,0,0.0,15
20,pre,Weekly,0.3,11,73.3,15
21,pre,Weekly,0.5,7,46.7,15
22,pre,Weekly,0.6,7,46.7,15
23,pre,Weekly,0.8,4,26.7,15
