,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,1553,88.8,1748
1,in,Daily,0.5,1070,61.2,1748
2,in,Daily,0.6,876,50.1,1748
3,in,Daily,0.8,357,20.4,1748
4,in,Weekly,0.3,1574,90.0,1748
5,in,Weekly,0.5,1139,65.2,1748
6,in,Weekly,0.6,949,54.3,1748
7,in,Weekly,0.8,503,28.8,1748
8,post,Daily,0.3,1804,86.5,2085
9,post,Daily,0.5,1187,56.9,2085
10,post,Daily,0.6,981,47.1,2085
11,post,Daily,0.8,458,22.0,2085
12,post,Weekly,0.3,1839,88.2,2085
13,post,Weekly,0.5,1280,61.4,2085
14,post,Weekly,0.6,1079,51.8,2085
15,post,Weekly,0.8,653,31.3,2085
16,pre,Daily,0.3,1168,91.0,1283
17,pre,Daily,0.5,803,62.6,1283
18,pre,Daily,0.6,657,51.2,1283
19,pre,Daily,0.8,296,23.1,1283
20,pre,Weekly,0.3,1149,89.6,1283
21,pre,Weekly,0.5,857,66.8,1283
22,pre,Weekly,0.6,722,56.3,1283
23,pre,Weekly,0.8,431,33.6,1283
