,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,4,50.0,8
1,in,Daily,0.5,3,37.5,8
2,in,Daily,0.6,2,25.0,8
3,in,Daily,0.8,1,12.5,8
4,in,Weekly,0.3,4,50.0,8
5,in,Weekly,0.5,1,12.5,8
6,in,Weekly,0.6,1,12.5,8
7,in,Weekly,0.8,0,0.0,8
8,post,Daily,0.3,6,46.2,13
9,post,Daily,0.5,2,15.4,13
10,post,Daily,0.6,2,15.4,13
11,post,Daily,0.8,1,7.7,13
12,post,Weekly,0.3,6,46.2,13
13,post,Weekly,0.5,2,15.4,13
14,post,Weekly,0.6,1,7.7,13
15,post,Weekly,0.8,1,7.7,13
16,pre,Daily,0.3,3,75.0,4
17,pre,Daily,0.5,0,0.0,4
18,pre,Daily,0.6,0,0.0,4
19,pre,Daily,0.8,0,0.0,4
20,pre,Weekly,0.3,3,75.0,4
21,pre,Weekly,0.5,0,0.0,4
22,pre,Weekly,0.6,0,0.0,4
23,pre,Weekly,0.8,0,0.0,4
