,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,15,83.3,18
1,in,Daily,0.5,12,66.7,18
2,in,Daily,0.6,7,38.9,18
3,in,Daily,0.8,1,5.6,18
4,in,Weekly,0.3,16,88.9,18
5,in,Weekly,0.5,13,72.2,18
6,in,Weekly,0.6,9,50.0,18
7,in,Weekly,0.8,0,0.0,18
8,post,Daily,0.3,17,85.0,20
9,post,Daily,0.5,11,55.0,20
10,post,Daily,0.6,10,50.0,20
11,post,Daily,0.8,1,5.0,20
12,post,Weekly,0.3,19,95.0,20
13,post,Weekly,0.5,12,60.0,20
14,post,Weekly,0.6,10,50.0,20
15,post,Weekly,0.8,2,10.0,20
16,pre,Daily,0.3,13,92.9,14
17,pre,Daily,0.5,8,57.1,14
18,pre,Daily,0.6,5,35.7,14
19,pre,Daily,0.8,2,14.3,14
20,pre,Weekly,0.3,14,100.0,14
21,pre,Weekly,0.5,9,64.3,14
22,pre,Weekly,0.6,6,42.9,14
23,pre,Weekly,0.8,2,14.3,14
