,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,13,86.7,15
1,in,Daily,0.5,5,33.3,15
2,in,Daily,0.6,3,20.0,15
3,in,Daily,0.8,1,6.7,15
4,in,Weekly,0.3,13,86.7,15
5,in,Weekly,0.5,7,46.7,15
6,in,Weekly,0.6,4,26.7,15
7,in,Weekly,0.8,1,6.7,15
8,post,Daily,0.3,13,86.7,15
9,post,Daily,0.5,5,33.3,15
10,post,Daily,0.6,4,26.7,15
11,post,Daily,0.8,2,13.3,15
12,post,Weekly,0.3,13,86.7,15
13,post,Weekly,0.5,7,46.7,15
14,post,Weekly,0.6,5,33.3,15
15,post,Weekly,0.8,2,13.3,15
16,pre,Daily,0.3,14,93.3,15
17,pre,Daily,0.5,7,46.7,15
18,pre,Daily,0.6,4,26.7,15
19,pre,Daily,0.8,1,6.7,15
20,pre,Weekly,0.3,14,93.3,15
21,pre,Weekly,0.5,7,46.7,15
22,pre,Weekly,0.6,5,33.3,15
23,pre,Weekly,0.8,2,13.3,15
