,Group,Frequency,Threshold,N above,% above,N total
0,in,Daily,0.3,29,90.6,32
1,in,Daily,0.5,20,62.5,32
2,in,Daily,0.6,17,53.1,32
3,in,Daily,0.8,3,9.4,32
4,in,Weekly,0.3,28,87.5,32
5,in,Weekly,0.5,22,68.8,32
6,in,Weekly,0.6,16,50.0,32
7,in,Weekly,0.8,7,21.9,32
8,post,Daily,0.3,38,90.5,42
9,post,Daily,0.5,25,59.5,42
10,post,Daily,0.6,18,42.9,42
11,post,Daily,0.8,5,11.9,42
12,post,Weekly,0.3,37,88.1,42
13,post,Weekly,0.5,24,57.1,42
14,post,Weekly,0.6,17,40.5,42
15,post,Weekly,0.8,9,21.4,42
16,pre,Daily,0.3,24,96.0,25
17,pre,Daily,0.5,21,84.0,25
18,pre,Daily,0.6,14,56.0,25
19,pre,Daily,0.8,1,4.0,25
20,pre,Weekly,0.3,25,100.0,25
21,pre,Weekly,0.5,21,84.0,25
22,pre,Weekly,0.6,14,56.0,25
23,pre,Weekly,0.8,5,20.0,25
