,Zip,N users,Frequency,Threshold,N above,% above,N series
0,48003.0,292,Daily,0.3,670,99.1,676
1,48003.0,292,Daily,0.5,184,27.2,676
2,48003.0,292,Daily,0.6,49,7.2,676
3,48003.0,292,Daily,0.8,7,1.0,676
4,48006.0,251,Daily,0.3,595,98.8,602
5,48006.0,251,Daily,0.5,139,23.1,602
6,48006.0,251,Daily,0.6,45,7.5,602
7,48006.0,251,Daily,0.8,9,1.5,602
8,20012.0,201,Daily,0.3,439,98.2,447
9,20012.0,201,Daily,0.5,167,37.4,447
10,20012.0,201,Daily,0.6,64,14.3,447
11,20012.0,201,Daily,0.8,7,1.6,447
12,1003.0,199,Daily,0.3,459,98.3,467
13,1003.0,199,Daily,0.5,119,25.5,467
14,1003.0,199,Daily,0.6,17,3.6,467
15,1003.0,199,Daily,0.8,3,0.6,467
16,1010.0,195,Daily,0.3,477,99.2,481
17,1010.0,195,Daily,0.5,125,26.0,481
18,1010.0,195,Daily,0.6,31,6.4,481
19,1010.0,195,Daily,0.8,1,0.2,481
20,20018.0,185,Daily,0.3,397,99.5,399
21,20018.0,185,Daily,0.5,157,39.3,399
22,20018.0,185,Daily,0.6,45,11.3,399
23,20018.0,185,Daily,0.8,5,1.3,399
24,31001.0,165,Daily,0.3,348,96.9,359
25,31001.0,165,Daily,0.5,114,31.8,359
26,31001.0,165,Daily,0.6,50,13.9,359
27,31001.0,165,Daily,0.8,7,1.9,359
28,1001.0,161,Daily,0.3,354,96.7,366
29,1001.0,161,Daily,0.5,78,21.3,366
30,1001.0,161,Daily,0.6,24,6.6,366
31,1001.0,161,Daily,0.8,3,0.8,366
32,48003.0,292,Weekly,0.3,672,99.4,676
33,48003.0,292,Weekly,0.5,224,33.1,676
34,48003.0,292,Weekly,0.6,61,9.0,676
35,48003.0,292,Weekly,0.8,7,1.0,676
36,48006.0,251,Weekly,0.3,598,99.3,602
37,48006.0,251,Weekly,0.5,196,32.6,602
38,48006.0,251,Weekly,0.6,50,8.3,602
39,48006.0,251,Weekly,0.8,4,0.7,602
40,20012.0,201,Weekly,0.3,439,98.2,447
41,20012.0,201,Weekly,0.5,184,41.2,447
42,20012.0,201,Weekly,0.6,61,13.6,447
43,20012.0,201,Weekly,0.8,6,1.3,447
44,1003.0,199,Weekly,0.3,459,98.3,467
45,1003.0,199,Weekly,0.5,153,32.8,467
46,1003.0,199,Weekly,0.6,31,6.6,467
47,1003.0,199,Weekly,0.8,3,0.6,467
48,1010.0,195,Weekly,0.3,478,99.4,481
49,1010.0,195,Weekly,0.5,172,35.8,481
50,1010.0,195,Weekly,0.6,37,7.7,481
51,1010.0,195,Weekly,0.8,2,0.4,481
52,20018.0,185,Weekly,0.3,396,99.2,399
53,20018.0,185,Weekly,0.5,185,46.4,399
54,20018.0,185,Weekly,0.6,50,12.5,399
55,20018.0,185,Weekly,0.8,9,2.3,399
56,31001.0,165,Weekly,0.3,350,97.5,359
57,31001.0,165,Weekly,0.5,121,33.7,359
58,31001.0,165,Weekly,0.6,55,15.3,359
59,31001.0,165,Weekly,0.8,13,3.6,359
60,1001.0,161,Weekly,0.3,362,98.9,366
61,1001.0,161,Weekly,0.5,113,30.9,366
62,1001.0,161,Weekly,0.6,36,9.8,366
63,1001.0,161,Weekly,0.8,5,1.4,366
